,ID,Year,State,region,domestic,commercial,industrial_low_volt,industrial_high_volt,public_lighting,traction,agriculture,public_water_works,miscellaneous,total_energy_sold
0,1003,2012-13,Mizoram,NER,197.59,21.1,1.81,1.47,5.36,0,0.08,37.23,21.96,286.6
1,984,2012-13,D & N Haveli,WR,71.8,27.79,163.31,4323.54,5.04,0,3.55,0,2.05,4597.08
2,983,2012-13,Daman & Diu,WR,77.31,38.5,160.22,1527.8,6.46,0,4.19,1.11,0,1815.59
3,982,2012-13,Goa,WR,835,216,127.03,1765.99,15,0,21,101,0,3081.02
4,981,2012-13,Maharashtra,WR,22594.63,12885.88,6489.92,35324.5,1258.55,2341.92,22059.05,1784.04,174.67,104913.16
5,980,2012-13,Chhattisgarh,WR,3807.42,1136.63,477.56,17519.93,92.180000000000,801.82000000000,2518.08,208.74,0,26562.36
6,979,2012-13,Madhya Pradesh,WR,7771.6528260625,2069.6241267179,1074.9443938595,11362.292170100,333.56792615356,1315.5447525303,9978.2822677809,1045.6955102045,1903.2660265896,36854.87
7,978,2012-13,Gujarat,WR,10604.54,4273.63,8890.0300000000,44112.19,289.7,729.91,14974.84,1132.16,39.94,85046.94
8,977,2012-13,Delhi,NR,11116.35,6720.97,2797.5,178.14,375.49,436.82,34.22,498.8,986.55999999999,23144.85
9,976,2012-13,Chandigarh,NR,586.54,397.55,123.95,139.15,21.98,0,1.4,(B),96.13,1366.7
10,975,2012-13,Uttarakhand,NR,1799.56,953.94000000000,289.42,5553.28,69.83,7.83,387.84,302.68,167.55,9531.93
11,974,2012-13,Uttar Pradesh,NR,19843.951,5121.658,3182.336,21962.4705,754.5335,753.4,9214.731,1449.8215,3701.331,65984.232500000
12,972,2012-13,Punjab,NR,9284.9,2712.36,2351.53,10560.44,145.81,134.83,10779.03,405.03,617.92999999999,36991.86
13,971,2012-13,Jammu & Kashmir,NR,2469.39,321.97,958.49,(A),37.67,0,296.74,481.46,600.77,5166.49
14,970,2012-13,Himachal Pradesh,NR,1616.58,410.98,61.48,4563.12,13.91,0,74.95,425.58,304.43,7471.03
15,969,2012-13,Haryana,NR,5554.81,2601.18,1395.42,7337.95,89.290000000000,596.12,8279.7099999999,743.99,476.68,27075.15
16,985,2012-13,Andhra Pradesh,SR,16049.630679662,5979.0305786718,3916.9165361461,23520.656980499,1476.3628383018,1772.18,19935.791256513,1135.1753041313,1060.0958260731,74845.84
17,986,2012-13,Karnataka,SR,9191.7000000000,5917.12,1811.42,20250.08,800.63,91.31,17173.77,2166.45,502.29,57904.77
18,987,2012-13,Kerala,SR,8382.6845608229,3028.4445043386,1107.5107745266,4030.9994725919,316.00951732391,173.78101549053,192.64015490533,55.14,125.45,17412.66
19,1002,2012-13,Arunachal Pradesh,NER,137.65188762626,42.157748737373,33.971970538720,156.60008122895,10.940797979797,0,0,7.9677550505050,81.639758838383,470.93
20,1001,2012-13,Tripura,NER,403.59,77.17,16.57,37.06,11.32,0,41.96,46.87,86.849999999999,721.39
21,1000,2012-13,Nagaland,NER,220.49865401871,34.649788488655,13.649916677349,0,5.2499679528265,0,0.0419997436226,3.1499807716959,50.399692347134,327.64
22,999,2012-13,Meghalaya,NER,403.63361268234,88.461706423042,8.0206841693956,738.53680782971,1.2879930782971,0,0.4800701473652,44.470888285203,111.45823738463,1396.35
23,998,2012-13,Manipur,NER,203.74,30.81,19.6,14.13,4.85,0,1.58,23.3,81,379.01
24,997,2012-13,Assam,NER,1619,642,74,2413.85,12,0,35,63,465,5323.85
25,996,2012-13,Sikkim,ER,140.57941911635,64.895856363316,147.34717831367,0,5.0885407498679,0,0,0,27.529005456785,385.44
26,995,2012-13,A & N Islands,ER,100.2,53.14,19.33,0,8.6400000000000,0,0.84,0,24.2,206.35
27,994,2012-13,West Bengal,ER,11070.87,4904.5478,2010.78,16514.759,408.15,1348.9348,1245.56,609.30999999999,346.81,38459.7216
28,988,2012-13,Tamil Nadu,SR,17834,6418,5493.13,22859.57,822.67999999999,736,11248,1618.32,1649,68678.7
29,989,2012-13,Puducherry,SR,589.80999999999,192.99,197.55,1511.71,15.84,0,56.75,39.86,12.11,2616.62
30,990,2012-13,Lakshadweep,SR,27.13,9.2899999999999,0.4,0,1.08,0,0,0,0,37.9
31,991,2012-13,Bihar,ER,2858.03,730.42999999999,251.12,1744.99,56.35,448.64,336.53,53.3,581.44000000000,7060.83
32,992,2012-13,Jharkhand,ER,3780,452.2422,181.84,16323.141,252,1076.5152,84,150.5,437.5,22737.7384
33,993,2012-13,Odisha,ER,4299.83,1171.63,309.57,28469.39,64.88,930.33,156.63,112.01,582.9,36097.17
34,973,2012-13,Rajasthan,NR,8155.85,3046.82,2639.05,14374.53,308.83,404.11,18324.65,1479.73,614.83,49348.4
35,944,2013-14,Gujarat,WR,11286.24,3179.96,10453.68,46295.179999999,303.61,737.15000000000,14729.72,1660.96,60.78,88707.28
36,945,2013-14,Madhya Pradesh,WR,9137.2539547977,1983.2430010813,994.06849446150,11341.71,543.18837086048,1776.95,11858.491131756,1554.6840777921,1693.2609692502,40882.85
37,946,2013-14,Maharashtra,WR,24038.574718987,12671.008463770,8660.6918313953,31318.328984753,1445.0425108134,2425.4748677943,22257.937037066,2237.2167080039,1014.4148774147,106068.69
38,947,2013-14,Daman & Diu,WR,86.867215713848,48.208004921918,174.87904929856,1487.1473868469,7.2801821336629,0,3.1451211767240,1.2374247252684,10.435615183097,1819.2
39,948,2013-14,D & N Haveli,WR,63.86,34.91,176.78,4904.64,5.48,0,3.82,0,2.35,5191.8399999999
40,949,2013-14,Goa,WR,808,291,132.98,1698.86,24,0,21,145,36,3156.84
41,943,2013-14,Chhattisgarh,WR,4097.07,1237.32,517.23,18225.99,102.23,837.34,2492.2,224.87,18.94,27753.19
42,942,2013-14,Uttarakhand,NR,2639.93,993.87,287.66,5747.46,34.06,11.49,343.99,191.08,289.89,10539.43
43,956,2013-14,Bihar,ER,3281.01,819.19000000000,281.01,1914.74,45.7,523.95,321.79,58.52,1095.03,8340.9400000000
44,940,2013-14,Rajasthan,NR,9446.4108859315,3352.2117627376,2840.2448228136,14974.576984790,372.20600076045,403.58,17262.835027376,1670.9378828897,662.26663269961,50985.27
45,939,2013-14,Punjab,NR,10344.14,2969.3,3209,10213.69,158.78,140.42,10223.57,427.19,1353.16,39039.25
46,938,2013-14,Jammu & Kashmir,NR,2429.74,644.92,392.69,780.41,39.08,0,280.73,512.98,677.22,4977.36
47,937,2013-14,Himachal Pradesh,NR,1774.73,568.51,204.68,4427.46,12.45,0,47.64,472.63,272.27,7780.3700000000
